query_pattern,tool_name,tool_args,confidence,query_type,entity,intent,description
"create a new product called Smartphone X","product.create","{'name': 'Smartphone X'}",0.90,parameterized,products,create,"Create with name extraction"
"add product Ultrabook Pro","product.create","{'name': 'Ultrabook Pro'}",0.90,parameterized,products,create,"Add product with name"
"new product Mobile Phone","product.create","{'name': 'Mobile Phone'}",0.90,parameterized,products,create,"New product creation"
"create product Business Laptop","product.create","{'name': 'Business Laptop'}",0.90,parameterized,products,create,"Create product"
"add a product called Gaming Mouse","product.create","{'name': 'Gaming Mouse'}",0.90,parameterized,products,create,"Add with called"
"insert product Wireless Headphones","product.create","{'name': 'Wireless Headphones'}",0.90,parameterized,products,create,"Insert product"
"create new product Smart Watch","product.create","{'name': 'Smart Watch'}",0.90,parameterized,products,create,"Create new product"
"add new product called Bluetooth Speaker","product.create","{'name': 'Bluetooth Speaker'}",0.90,parameterized,products,create,"Add new product"
"create a product named USB Cable","product.create","{'name': 'USB Cable'}",0.90,parameterized,products,create,"Create with named"
"add product named Power Bank","product.create","{'name': 'Power Bank'}",0.90,parameterized,products,create,"Add with named"
"create product called Webcam","product.create","{'name': 'Webcam'}",0.90,parameterized,products,create,"Create with called"
"add a new product Keyboard","product.create","{'name': 'Keyboard'}",0.90,parameterized,products,create,"Add new product"
"insert new product Monitor","product.create","{'name': 'Monitor'}",0.90,parameterized,products,create,"Insert new product"
"create product with name Printer","product.create","{'name': 'Printer'}",0.90,parameterized,products,create,"Create with name"
"add Smartphone Pro, with touchscreen, price $1249","product.create","{'name': 'Smartphone Pro'}",0.90,parameterized,products,create,"Add with features and price"
"create product called Laptop with 16GB RAM","product.create","{'name': 'Laptop'}",0.90,parameterized,products,create,"Create with specs"
"add new product called Phone with 128GB storage","product.create","{'name': 'Phone'}",0.90,parameterized,products,create,"Add with storage"
"update product id 1","product.update","{'id': 1}",0.85,parameterized,products,update,"Update by ID"
"modify product id 2","product.update","{'id': 2}",0.85,parameterized,products,update,"Modify by ID"
"change product id 3","product.update","{'id': 3}",0.85,parameterized,products,update,"Change by ID"
"edit product id 4","product.update","{'id': 4}",0.85,parameterized,products,update,"Edit by ID"
"update product 5","product.update","{'id': 5}",0.85,parameterized,products,update,"Update product"
"modify product 6","product.update","{'id': 6}",0.85,parameterized,products,update,"Modify product"
"change product 7","product.update","{'id': 7}",0.85,parameterized,products,update,"Change product"
"edit product 8","product.update","{'id': 8}",0.85,parameterized,products,update,"Edit product"
"update id 9","product.update","{'id': 9}",0.80,parameterized,products,update,"Update by ID only"
"modify id 10","product.update","{'id': 10}",0.80,parameterized,products,update,"Modify by ID only"
"change id 11","product.update","{'id': 11}",0.80,parameterized,products,update,"Change by ID only"
"edit id 12","product.update","{'id': 12}",0.80,parameterized,products,update,"Edit by ID only"
"delete product id 1","product.delete","{'id': 1}",0.85,parameterized,products,delete,"Delete by ID"
"remove product id 2","product.delete","{'id': 2}",0.85,parameterized,products,delete,"Remove by ID"
"drop product id 3","product.delete","{'id': 3}",0.85,parameterized,products,delete,"Drop by ID"
"delete product 4","product.delete","{'id': 4}",0.85,parameterized,products,delete,"Delete product"
"remove product 5","product.delete","{'id': 5}",0.85,parameterized,products,delete,"Remove product"
"drop product 6","product.delete","{'id': 6}",0.85,parameterized,products,delete,"Drop product"
"delete id 7","product.delete","{'id': 7}",0.80,parameterized,products,delete,"Delete by ID only"
"remove id 8","product.delete","{'id': 8}",0.80,parameterized,products,delete,"Remove by ID only"
"drop id 9","product.delete","{'id': 9}",0.80,parameterized,products,delete,"Drop by ID only"
"get product id 1","product.get","{'id': 1}",0.80,parameterized,products,get,"Get by ID"
"find product id 2","product.get","{'id': 2}",0.80,parameterized,products,get,"Find by ID"
"retrieve product id 3","product.get","{'id': 3}",0.80,parameterized,products,get,"Retrieve by ID"
"get product 4","product.get","{'id': 4}",0.80,parameterized,products,get,"Get product"
"find product 5","product.get","{'id': 5}",0.80,parameterized,products,get,"Find product"
"retrieve product 6","product.get","{'id': 6}",0.80,parameterized,products,get,"Retrieve product"
"get id 7","product.get","{'id': 7}",0.75,parameterized,products,get,"Get by ID only"
"find id 8","product.get","{'id': 8}",0.75,parameterized,products,get,"Find by ID only"
"retrieve id 9","product.get","{'id': 9}",0.75,parameterized,products,get,"Retrieve by ID only"
"show product id 10","product.get","{'id': 10}",0.80,parameterized,products,get,"Show by ID"
"display product id 11","product.get","{'id': 11}",0.80,parameterized,products,get,"Display by ID"
"view product id 12","product.get","{'id': 12}",0.80,parameterized,products,get,"View by ID"
