query_pattern,tool_name,tool_args,confidence,query_type,entity,intent,description
"list all products","product.list","{}",0.95,simple,products,list,"Basic list operation"
"show me the products","product.list","{}",0.95,simple,products,list,"Alternative list phrasing"
"get products","product.list","{}",0.95,simple,products,list,"Simple get request"
"show products","product.list","{}",0.95,simple,products,list,"Show all products"
"display products","product.list","{}",0.95,simple,products,list,"Display product list"
"view products","product.list","{}",0.95,simple,products,list,"View all products"
"what products do you have","product.list","{}",0.95,simple,products,list,"Conversational list"
"show me products","product.list","{}",0.95,simple,products,list,"Personal request"
"list everything","product.list","{}",0.90,simple,products,list,"Generic list request"
"get the product list","product.list","{}",0.95,simple,products,list,"Explicit list request"
"show product list","product.list","{}",0.95,simple,products,list,"Show product list"
"display all products","product.list","{}",0.95,simple,products,list,"Display all products"
"what's in the catalog","product.list","{}",0.90,simple,products,list,"Catalog reference"
"show catalog","product.list","{}",0.90,simple,products,list,"Show catalog"
"list catalog","product.list","{}",0.90,simple,products,list,"List catalog"
"get catalog","product.list","{}",0.90,simple,products,list,"Get catalog"
"show recent product created","product.list","{}",0.95,simple,products,list,"Show recent products"
"get recent created product","product.list","{}",0.95,simple,products,list,"Get recent created product"
"get recent products","product.list","{}",0.95,simple,products,list,"Get recent products"
"show recent products","product.list","{}",0.95,simple,products,list,"Show recent products"
"show latest products","product.list","{}",0.95,simple,products,list,"Show latest products"
"show newest products","product.list","{}",0.95,simple,products,list,"Show newest products"
"show products starting with L","product.list","{}",0.90,simple,products,list,"Show products with name prefix"
"get products starting with A","product.list","{}",0.90,simple,products,list,"Get products with name prefix"
"list products starting with S","product.list","{}",0.90,simple,products,list,"List products with name prefix"
"display products starting with M","product.list","{}",0.90,simple,products,list,"Display products with name prefix"
"show products that start with P","product.list","{}",0.90,simple,products,list,"Show products with name prefix"
"get products beginning with T","product.list","{}",0.90,simple,products,list,"Get products with name prefix"
